Title,Local Call Number,LC Call Number,Physical Availability
"Coptic sculpture, 300-1300",NB1082.B4 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1082.B4; (1 items out of 1 available)
Medusa : the African sculpture of enchantment / Boris Wastiau ; photography by Johnathan Watts,,NB1091.65 .M873 2008 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1091.65 .M873 2008; (1 items out of 1 available)
African stone sculpture / Philip Allison,NB1097.W4 A69 1968  and others,NB1097.W4 A69 1968 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1097.W4A69 1968; (1 items out of 1 available)
African mud sculpture,730.96 B  and others,NB1097.W4 B4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1097.W4B4; (1 items out of 1 available)
Westafrikanische Masken [von] Kurt Krieger [und] Gerdt Kutscher,NB1097.W4 K75 ,NB1097.W4 K75 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1097.W4K75; (1 items out of 1 available)
African masks; [translated from the Italian by Andrew Hale],NB1097.W4M613 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1097.W4M613; (1 items out of 1 available)
Ife in the history of West African sculpture,NB1097.W4W5 1967b ,NB1097.W4 W5 1967b ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1097.W4W5 1967b; (1 items out of 1 available)
Praise poems : the Katherine White collection,,NB1098 .P73 1984 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1098.P73 1984; (1 items out of 1 available)
"African 'primitives': function and form in African masks and figures, by G. W. Sannes; translated by Margaret King; with photographs by Marianne Dommisse",NB1098 .S2513 1970b ,NB1098 .S2513 1970b ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1098.S2513 1970b; (1 items out of 1 available)
Classical African sculpture. [By] Margaret Trowell,NB1098.T7 1970 ,NB1098.T7 1970 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1098.T7 1970; (1 items out of 1 available)
The four moments of the sun : Kongo art in two worlds / Robert Farris Thompson and Joseph Cornet,NB1099.C6T5 ,NB1099.C6 T5 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1099.C6T5; (1 items out of 1 available)
"Palace sculptures of Abomey : history told on walls / Francesca Piqué and Leslie H. Rainer ; with contributions by Jérome C. Alladaye, Rachida Ayari de Souza, [and] Suzanne Preston Blier",,NB1099.D32 P57 1999 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1099.D32P57 1999; (1 items out of 1 available)
Alfred Gilbert / Richard Dorment,NB1115 .D23  and others,NB1115 .D23 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1115.D23; (1 items out of 1 available)
Alfred Gilbert : sculptor and goldsmith / Richard Dorment with contributions by Timothy Bidwell ... [and others] ; [sponsored by British Alcan Aluminium and the GLC with support from the Friends of the Royal Academy],NB1115 .D65  and others,NB497.G5  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1115.D65; (1 items out of 1 available)
"The spatial politics of the sculptural : art, capitalism and the urban space / Euyoung Hong",,NB1135 .H66 2016 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1135 .H66 2016; (1 items out of 1 available)
Isamu Noguchi : essays and conversations / edited by Diane Apostolos-Cappadona and Bruce Altshuler,,NB1135 .N64 1994 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1135.N64 1994; (1 items out of 1 available)
The hand and eye of the sculptor / Text and photographs by Paul Waldo Schwartz,NB1135.S3 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1135.S3; (1 items out of 1 available)
De sculptura <1504>. Éd. annotée et trad. par André Chastel et Robert Klein avec un groupe de travail de l'École pratique des hautes études,NB1138 .G38  and others,NB1138 .G38 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1138.G38; (0 items out of 1 available)
Elemental sculpture : theory and practice,NB1140 .T63 2014 ,NB1140 .T63 2014 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1140 .T63 2014; (1 items out of 1 available)
Style in sculpture,NB1140.A76 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1140.A76; (1 items out of 1 available)
Sculpture inside and out [by] Malvina Hoffman,,NB1140 .H6 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1140.H6; (2 items out of 2 available)
The art of sculpture,NB1140 .R384  and others,NB1140 .R384 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1140.R384; (1 items out of 1 available)
The art of sculpture,NB1140.R4 ,NB1140 .R4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1140.R4; (1 items out of 1 available)
Origins of modern sculpture [by] W.R. Valentiner,NB1140.V3 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1140.V3; (2 items out of 2 available)
"Zorach explains sculpture, what it means and how it is made",NB1140.Z6 1961 ,NB1140 .Z6 1961 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1140.Z6 1961; (1 items out of 1 available)
"The sculptural imagination : figurative, modernist, minimalist / Alex Potts",,NB1142.5 .P68 2000 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1142.5.P68 2000; (1 items out of 1 available)
Contemporary sculpture techniques: welded metal and fiberglass. Photographic supervision: Doug Stewart,,NB1170 .B22 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1170.B22; (1 items out of 1 available)
Practical sculpture; creating with plastic media,,NB1170 .D38 1970 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1170.D38 1970; (1 items out of 1 available)
Sculpture; material and process [by] Donald J. Irving,,NB1170 .J7 1970 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1170.J7 1970; (1 items out of 1 available)
The Alfred David Lenz system of lost wax casting,,NB1170 .L4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1170.L4; (0 items out of 1 available)
Art in the round; elements and materials of three-dimensional design,NB1170.S75 ,NB1170 .S75 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1170.S75; (1 items out of 1 available)
Sculptural handwriting. [Translated by Till Gottheiner,NB1170.V613 ,NB1170 .V613 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1170.V613; (1 items out of 1 available)
Anyone can sculpt ; a book of established and new methods and techniques for amateurs and students,NB1170.Z3 ,NB1170 .Z3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1170.Z3; (1 items out of 1 available)
The new and classic sculpture methods,NB1170.Z32 1972 ,NB1170 .Z32 1972 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1170.Z32 1972; (1 items out of 1 available)
Modelled sculpture and plaster casting / Arnold Auerbach,NB1180.A8 1961 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1180.A8 1961; (1 items out of 1 available)
Art forgery : the case of the Lady of Elche / John F. Moffitt,,NB1201.5.D36 M64 1995 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1201.5.D36M64 1995; (1 items out of 1 available)
The materials of sculpture / Nicholas Penny,NB1202.P46 1993 ,NB1202 .P46 1993 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1202.P46 1993; (0 items out of 1 available)
"Contemporary stone sculpture; aesthetics, methods, appreciation, by Dona Z. Meilach",NB1208.M44 1970 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1208.M44 1970; (1 items out of 1 available)
The art of stoneworking : a reference guide / Peter Rockwell,NB1208.R63 1993 ,NB1208 .R63 1993 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1208.R63 1993; (1 items out of 1 available)
Moving sculptures : southern Netherlandish alabasters from the 16th to 17th centuries in central and northern Europe / by Aleksandra Lipi?ska,,NB1210.A4 L5713 2015 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1210.A4 L5713 2015; (1 items out of 1 available)
I marmi di San Marco / uno studio ed un catalogo della scultura ornamentale marciana fino all'XI secolo di Fulvio Zuliani. Premessa di Mario Salmi. Introduzione di Bruna e Ferdinando Forlati.,NB1210.M3 Z856 1969 ,N5950 .A47 vol. 2  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1210.M3 Z856 1969; (1 items out of 1 available)
Marble queens and captives : women in nineteenth-century American sculpture / Joy S. Kasson,NB1210.M3K3 1990 ,NB1210.M3 K3 1990 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1210.M3K3 1990; (1 items out of 1 available)
Sculpture in concrete [by] John W. Mills,NB1215.M5 1968b ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1215.M5 1968b; (1 items out of 1 available)
"100 Jahre Metallplastik: Bronzeguss, Construction, Materialsprache, Wahrnehmung = 100 years of metal sculpture: bronze casting, construction, material language, perception / Dietrich Mahlow",NB1220 .M3 1981  and others,NB1220 .M3 1981 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1220.M3 1981; (2 items out of 2 available)
Sculpture with a torch,NB1220.R6 1963 ,NB1220 .R6 1963 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1220.R6 1963; (1 items out of 1 available)
Der Braunschweiger Burglöwe : Bericht über ein wissenschaftliches Symposion in Braunschweig vom 12.10. bis 15.10.1983.,NB1230 .B66 1985 ,NB1230 .B66 1985 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1230 .B66 1985; (1 items out of 1 available)
A concise history of bronzes,NB1230.S2 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1230.S2; (1 items out of 1 available)
"Mario Ceroli : [Exhibition at] Albright-Knox Art Gallery, May 13-June 15, 1969",NB1250.C476 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1250.C476; (1 items out of 1 available)
The limewood sculptors of Renaissance Germany / Michael Baxandall,NB1255.G3B39 ,NB1255.G3 B39 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1255.G3B39; (0 items out of 1 available)
The making of Bamana sculpture : creativity and gender / Sarah C. Brett-Smith,,NB1255.M42 B74 1994 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1255.M42B74 1994; (1 items out of 1 available)
"Traditional Igbo art, 1966; an exhibition of wood sculpture carved in 1965-66, from the Frank Starkweather Collection, August 15 through October 27, 1968",NB1255.N5S8 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1255.N5S8; (1 items out of 1 available)
La sculpture siennoise en bois,NB1255.S5 C38 1954  and others,NB1255.S5 C38 1954 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1255.S5C38 1954; (1 items out of 1 available)
