Title,Local Call Number,LC Call Number,Physical Availability
La Cathédrale de Strasbourg : sculpture des portails occidentaux / Benoît Van den Bossche,NB551.S77 B67 2006 ,NB551.S77 B67 2006 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB551.S77B67 2006; (1 items out of 1 available)
"Les Grandes étapes de la sculpture romane toulousaine, des monuments aux collections, exposition organisée à l'occasion du 96? Congrès national des sociétés savantes de France ... avril 1971. [L'Art roman toulousain au Musée des Augustins, questions et problémes, par Denis Milhau. Préface par Marcel Durliat.].",,NB551.T6 G7 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB551.T6 G7; (1 items out of 1 available)
"Dictionnaire des sculpteurs de l'école française du moyen âge au règne de Louis XIV, par Stanislas Lami ... préface de Gustave Larroumet .",NB552.L3 1970 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB552.L3 1970; (1 items out of 1 available)
"Dictionnaire des sculpteurs de l'école française sous le règne de Louis XIV, par Stanislas Lami .",NB552.L31 1970 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB552.L31 1970; (1 items out of 1 available)
Dictionnaire des sculpteurs de l'école française au dix-huitième siècle / par Stanislas Lami ; préf. de Henry Roujon,NB552.L32 1970 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB552.L32 1970; (2 items out of 2 available)
Dictionnaire des sculpteurs de l'École française au dix-neuvième siècle / par Stanislas Lami,,NB552 .L33 1970 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB552.L33 1970; (4 items out of 4 available)
Arp / Edited with an introduction by James Thrall Soby. Articles by Jean Hans Arp [and others],NB553.A7N4 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.A7N4; (1 items out of 1 available)
The art of Jean Arp,NB553.A7R4 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.A7R4; (1 items out of 1 available)
Cesar : anthologie / par Jean Nouvel,,NB553.B22 A4 2008  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.B22 A4 2008; (1 items out of 1 available)
"Antoine-Louis Barye, sculptor of romantic realism / Glenn F. Benge",NB553.B4B46 1984 ,NB553.B4 B46 1984 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.B4B46 1984; (1 items out of 1 available)
Jean-Baptiste Carpeaux : sculptor of the Second Empire / Anne Middleton Wagner,NB553.C3W33 1986 ,NB553.C3 W33 1986 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.C3W33 1986; (1 items out of 1 available)
Camille Claudel & Rodin : fateful encounter,,NB553.C44 A4 2005 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.C44A4 2005; (1 items out of 1 available)
Camille Claudel : a life / Odile Ayral-Clause,,NB553.C44 A97 2002 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.C44A97 2002; (1 items out of 1 available)
Camille Claudel : a sculpture of interior solitude / Angelo Caranfa,,NB553.C44 C36 1999 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.C44C36 1999; (1 items out of 1 available)
"Daumier sculpture : a critical and comparative study, by Jeanne L. Wasserman, assisted by Joan M. Lukach and Arthur Beale. [Exhibition] Fogg Art Museum, Harvard University, May 1-June 23, 1969",NB553.D29W3 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.D29W3; (1 items out of 1 available)
David d'Angers : sculptural communication in the age of romanticism / Jacques de Caso ; translated by Dorothy Johnson and Jacques de Caso,NB553.D3D413 1992 ,NB553.D3 D413 1992 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.D3D413 1992; (1 items out of 1 available)
"Dubuffet; new sculpture and drawings. [Exhibition, April 13-May 18, 1968]",NB553.D75P3 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.D75P3; (1 items out of 1 available)
"Raymond Duchamp-Villon, 1876-1918; introduction by George Heard Hamilton, notes by William C. Agee",NB553.D77 A68  and others,NB553.D77 A68 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.D77A68; (1 items out of 1 available)
The sculpture of Falconet. By George Levitine. With a translation from the French of Falconet's Réflexions sur la sculpture by Eda Mezer Levitine,NB553.F2L48 ,NB553.F2 L48 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.F2L48; (1 items out of 1 available)
Apel·les Fenosa,NB553.F4C64 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.F4C64; (1 items out of 1 available)
Savage messiah: Gaudier-Brzeska,NB553.G35E4 1931a ,NB553.G35 E4 1931a ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.G35E4 1931a; (1 items out of 1 available)
Giacometti / edited by Lena Fritsch and Frances Morris ; with Catherine Grenier and Mathilde Lecuyer ; with contributions by Christian Alandete [and others],,NB553.G4 A4 2017 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.G4 A4 2017; (1 items out of 1 available)
"Giacometti, a biography / James Lord",NB553.G4L67 1985 ,NB553.G4 L67 1985 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.G4L67 1985; (1 items out of 1 available)
"La sculpture de la façade de la cathédrale de Laon : eschatologie et humanisme / Iliana Kasarska ; [préface, Dany Sandron]",,NB551.L36 K37 2008  and others,"Physical version at KSL A/V Service Center SMED; Kelvin Smith Library; NB551.L36 K37 2008; (1 items out of 1 available)
Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB551.L36 K37 2008; (1 items out of 1 available)"
"Saint Judas, apostle and martyr : passion theology, politics, and the artistic persona in a French Romanesque capital / Kathryn Eberle Wildgen",,NB553.G53 A77 2000 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.G53A77 2000; (1 items out of 1 available)
Gaston Lachaise : the man and his work / Gerald Nordland,NB553.L242N67 1974 ,NB553.L242 N67 1974 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.L242N67 1974; (1 items out of 1 available)
"Antoine Le Moiturier; le dernier des grands imagiers des ducs de Bourgogne. Musée de Dijon, Palais des ducs de Bourgogne, 1973.",,NB553.L39 A82 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.L39 A82; (1 items out of 1 available)
Lipchitz and the avant-garde : from Paris to New York / edited by Josef Helfenstein and Jordana Mendelson ; essays by Jonathan Fineberg ... [and others],,NB553.L55 A4 2001 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.L55A4 2001; (1 items out of 1 available)
"An exhibition of original pieces of sculpture by Aristide Maillol, 1861-1944",NB553.M3 M3  and others,NB553.M3 M3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.M3M3; (1 items out of 1 available)
Picasso's third dimension. Photos. and text by Gjon Mili,NB553.P45M5 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.P45M5; (1 items out of 1 available)
Rodin : sex and the making of modern sculpture / David J. Getsy,,NB553.R7 G48 2010 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R7 G48 2010; (1 items out of 1 available)
Roubiliac and the eighteenth-century monument : sculpture as theatre / David Bindman and Malcolm Baker,NB553.R75 B55 1995 ,NB553.R75 B56 1995  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R75B55 1995; (1 items out of 1 available)
"Rodin : sculptures, dessins, photographies : [exposition, 26 janvier-25 février 2006], Brame and Lorenceau, Paris / avec le concours de Jérôme Le Blay",NB553.R7 A4 2006 ,NB553.R7 A4 2006 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R7A4 2006; (1 items out of 1 available)
The Gates of hell by Auguste Rodin / Albert E. Elsen,NB553.R7A693 1985 ,NB553.R7 A693 1985 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R7A693 1985; (1 items out of 1 available)
Rodin's Thinker and the dilemmas of modern public sculpture / Albert E. Elsen,NB553.R7A76 1985 ,NB553.R7 A76 1985 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R7A76 1985; (1 items out of 1 available)
Rodin : the shape of genius / Ruth Butler,NB553.R7B88 1993 ,NB553.R7 B88 1993 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R7B88 1993; (1 items out of 1 available)
Rodin / Bernard Champigneulle ; [translated from the French by J. Maxwell Brownjohn],,NB553.R7 C3813 1986 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R7C3813 1986; (1 items out of 1 available)
Rodin / by Muriel Ciolkowska,NB553.R7 C54 1912 ,NB553.R7 C54 1912 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R7C54 1912; (1 items out of 1 available)
Rodin,NB553.R7E39 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R7E39; (1 items out of 1 available)
Rodin's Gates of hell,NB553.R7 E4 1960  and others,NB553.R7 E4 1960 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R7E4 1960; (1 items out of 1 available)
"Rodin: sculpture and drawings: [catalogue of] an exhibition organized by the Arts Council of Great Britain and the Association Française d'Action Artistique [at] the Hayward Gallery, London, 24 January to 5 April 1970",NB553.R7G62 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R7G62; (1 items out of 1 available)
Rodin : a biography / Frederic V. Grunfeld,,NB553.R7 G78 1998 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R7G78 1998; (1 items out of 1 available)
Auguste Rodin : drawings & watercolors / Antoinette Le Normand-Romain and Christina Buley-Uribe,NB553.R7 L513613 2007 ,NC248.R58 A4 2007  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R7L513613 2007; (1 items out of 1 available)
"Catalogue sommaire des oeuvres d'Auguste Rodin et autres oeuvres d'art de la Donation Rodin, exposés à l'hôtel Biron ; avec introduction et notices par Leonce Bénédite",NB553.R7 P3 ,NB553.R7 P3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R7P3; (1 items out of 1 available)
"Catalogue du Musée Rodin, I. Hôtel Biron / essai de classement chronologique des œuvres d'Auguste Rodin par Georges Grappe",NB553.R7 P37  and others,NB553.R7 P37 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R7P37; (1 items out of 1 available)
"Rodin, translated by Jessie Lemont and Hans Trausil",NB553.R7R65 1945 ,NB553.R7 R65 1945 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R7R65 1945; (1 items out of 1 available)
Rodin and other prose pieces / Rainer Maria Rilke ; translated from the German by G. Craig Houston ; with an introduction by William Tucker,,N7480 A245 1986 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.R7R73; (1 items out of 1 available)
"Vassé's ""Bambinelli"" : the child portraits of an 18th-century French sculptor / Bernard Black",NB553.V37 B5 1994 ,NB553.V37 B5 1994 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.V37B5 1994; (1 items out of 1 available)
"Zadkine, [by] Ionel Jianou.",NB553.Z3J5 ,NB553.Z3 J5 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB553.Z3J5; (1 items out of 1 available)
German baroque sculpture / by Sacheverell Sitwell ; with 48 photographs by Anthony Ayscough ; and descriptive notes by Nikolaus Pevsner,NB566 .S5 1938a ,NB566 .S5 1938a ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB566.S5 1938a; (1 items out of 1 available)
Die Bauskulptur und Ausstattungsbildnerei des frühen und hohen Mittelalters im Saarland,NB580 .V653 1969  and others,NB580 .V6  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB580 .V653 1969; (1 items out of 1 available)
"Sculpture projects Muenster 07 / edited by Brigitte Franzen, Kasper König, Carina Plath ; for LWL-Landesmuseum für Kunst und Kulturgeschichte (Westfälisches Landesmuseum), Münster",,NB586.M88 S32 2007 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB586.M88S32 2007; (1 items out of 1 available)
Ernst Barlach,NB588.B35C313 1969 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB588.B35C313 1969; (1 items out of 1 available)
Kleinplastik. Einl. volume Joachim Arp,NB588.D8A48 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB588.D8A48; (1 items out of 1 available)
Max Ernst : sculpture = sculptures,,NB588.E7 A4 1996 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB588.E7A4 1996; (1 items out of 1 available)
"Wilhelm Lehmbruck, 1881-1919 : das plastische und malerische Werk : Gedichte und Gedanken : Sammlungskatalog Stiftung Wilhelm Lehmbruck Museum -- Zentrum Internationaler Skulptur, Duisburg / bearbeitet von Katharina B. Lepper ; herausgegeben von Christoph Brockhaus ; [Autoren, Christoph Brockhaus, Gottlieb Leinz, Katharina B. Lepper]",,NB588.L45 A4 2005 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB588.L45A4 2005; (1 items out of 1 available)
The art of Wilhelm Lehmbruck [By] Reinhold Heller,735L5281L  and others,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB588.L45H4; (1 items out of 1 available)
Wilhelm Lehmbruck: life and work,NB588.L45H61 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB588.L45H61; (1 items out of 1 available)
Eugen Maier : Bildhauer / Hans Jörg Maier,NB588.M35 A8 1992 ,NB588.M35 A8 1992 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB588.M35A8 1992; (1 items out of 1 available)
The art of the woman : the life and work of Elisabet Ney / Emily Fourmy Cutrer,,NB588.N4 C88 1988 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB588.N4C88 1988; (1 items out of 1 available)
Riemenschneider im Taubertal. Mit einem Geleitwort von Kurt Gerstenberg,NB588.R5 G4 ,NB588.R5 G4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB588.R5G4; (1 items out of 1 available)
Der bildhauer : Kurt Schwippert / Ernst Johann,NB588.S34 J6  and others,NB588.S34 J6 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB588.S34J6; (1 items out of 1 available)
"Veit Stoss in Nürnberg : Werke des Meisters und seiner Schule in Nürnberg und Umgebung / [herausgegeben vom Germanischen Nationalmuseum Nürnberg ; Leitung, Gerhard Bott ; Konzeption und Redaktion, Rainer Kahsnitz].",,NB588.S8 A4 1983 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB588.S8 A4 1983; (1 items out of 1 available)
The Cracow Altar of Veit Stoss,NB588.S8B87 ,NB588.S8 B87 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB588.S8B87; (1 items out of 1 available)
Das Sebaldusgrabmal im Ostchor der St.-Sebaldus-Kirche in Nürnberg; ein Messingguss aus der Giesshütte der Vischer,NB588.V8P5 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB588.V8P5; (1 items out of 1 available)
Die Bildhauerin Maria Weber [von] Hubert Tigges,NB588.W35 T5 1970 ,NB588.W35 T5 1970 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB588.W35T5 1970; (1 items out of 1 available)
Mari Andriessen [Translated from the Dutch by C. de Dood],NB603.A6 B44 ,NB603.A6 B44 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB603.A6B44; (1 items out of 1 available)
"Essays on Italian sculpture, [by] John Pope-Hennessy",NB611.P58 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB611.P58; (1 items out of 1 available)
"Catalogue of Italian sculpture in the Victoria and Albert Museum [by] John Pope-Hennessy, keeper of the Dept. of Architecture and Sculpture, assisted by Ronald Lightbrown",NB611.V53 ,NB611 .V53 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB611.V53; (3 items out of 3 available)
Scultura romanica a Genova / testo di Clario Di Fabio,,NB613 .D53 1984  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB613 .D53 1984; (1 items out of 1 available)
"Italian sculpture, 1250-1700 [by] F. M. Godfrey",NB614.G6 1967 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB614.G6 1967; (1 items out of 1 available)
"Renaissance master bronzes from the collection of the Kunsthistorisches Museum, Vienna / [selected by] Manfred Leithe-Jasper",NB615.R46 1986 ,NB615 .R46 1986 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB615.R46 1986; (1 items out of 1 available)
Sculpture in Italy: 1400-1500,NB615 .S45 ,NB615 .S45 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB615.S45; (2 items out of 2 available)
"The lustrous trade : material culture and the history of sculpture in England and Italy, c.1700-c.1860 / edited by Cinzia Sicca and Alison Yarrington",,NB616 .L87 2000 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB616.L87 2000; (1 items out of 1 available)
"The study and criticism of Italian sculpture / John Pope-Hennessy ; [Emily Walter, editor]",NB616.P66 ,NB616 .P66 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB616.P66; (1 items out of 1 available)
Early Romanesque sculpture in Apulia / Tessa Garton.,,NB619.A7 G37 1984 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB619.A7 G37 1984; (1 items out of 1 available)
La scuola di Piacenza: Problemi di scultura romanica in Emilia / Lorenza Cochetti Pratesi.,NB619.E44 C637 1973 ,NB619.E44 C62  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB619.E44 C637 1973; (1 items out of 1 available)
"The sculpture of reform in north Italy, ca. 1095-1130 : history and patronage of Romanesque façades / Dorothy F. Glass",,NB619.N67 G48 2010 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB619.N67 G48 2009; (1 items out of 1 available)
"Scultura in Friuli, il romanico / Carlo Gaberscek ; saggio preliminare di Sergio Tavano.",,NB619.U34 G3 1981 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB619.U34 G3 1981; (1 items out of 1 available)
Roman baroque sculpture : the industry of art / Jennifer Montagu,NB620.M66 1989 ,NB620 .M66 1989 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB620.M66 1989; (0 items out of 1 available)
"Kaiser Friedrichs II. Triumphtor zu Capua, ein Denkmal hohenstaufischer Kunst in Süditalien.",,NB621.C3 W5 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB621.C3 W5; (1 items out of 1 available)
Florentine Renaissance sculpture,NB621.F6A87 1970b ,NB621.F6 A87 1970b ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB621.F6A87 1970b; (1 items out of 1 available)
Florentine sculpture,NB621.F6B4 ,NB621.F6 B4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB621.F6B4; (1 items out of 1 available)
"Florentine sculptors of the renaissance, by Wilhelm Bode; with 94 plates",N B621.F6B8 ,N B621.F6B8 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB621.F6B8; (1 items out of 1 available)
"Four golden horses in the sun / Ottavio Vittori, Anna Mestitz. Translated and edited by James A. Gray",NB622.V4 V577  and others,NB622.V4 V577 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB622.V4V577; (1 items out of 1 available)
"Baccio Bandinelli e le anatomie degli scartafacci : il ""Libro del disegno"", l'archivio di famiglia e la questione del ""Memoriale"" / Jonathan Schiesaro",,NB623.B284 S35 2023 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.B284 S35 2023; (1 items out of 1 available)
Baccio Bandinelli and art at the Medici court : a corpus of early modern sources / [edited and compiled by] Louis A. Waldman,NB623.B284 B33 2004  and others,Q11 NB623.B284 .P612 vol. 251  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.B284B3 2004; (1 items out of 1 available)
Bernini's beloved : a portrait of Costanza Piccolomini / Sarah McPhee,,NB623.B5 A66 2012 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.B5 A66 2012; (1 items out of 1 available)
Material Bernini / edited by Evonne Levy and Carolina Mangone,,NB623.B5 M37 2016 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.B5 M37 2016; (1 items out of 1 available)
Bernini : art as theatre / Genevieve Warwick,,NB623.B5 W37 2012 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.B5 W37 2012; (1 items out of 1 available)
Bernini,NB623.B5 H5 1965 ,NB623.B5 H5 1965 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.B5H5 1965; (1 items out of 1 available)
"Benedetto and Santi Buglioni, by Allan Marquand",,NB623.B8 M3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.B8M3; (1 items out of 1 available)
"I, Michelangelo, sculptor; an autobiography through letters. Edited by Irving and Jean Stone. From the translation by Charles Speroni",NB623.B9A253 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.B9A253; (1 items out of 1 available)
"Tal cosa: Michelangelo's David : its form, site and political symbolism / Saul Levine",NB623.B9 L48 1972  and others,NB623.B9 L48 1972 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.B9L48 1972; (1 items out of 1 available)
"Michelangelo: the Bruges Madonna and the Piccolomini altar, by Harold R. Mancusi-Ungaro, Jr",NB623.B9M34 1971 ,NB623.B9 M34 1971 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.B9M34 1971; (1 items out of 1 available)
"Michelangelo's ""Victory"" / by Johannes Wilde",709.45 B94zwi ,NB623.B9 W5 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.B9W5; (1 items out of 1 available)
Cellini and the principles of sculpture / Michael W. Cole,,NB623.C28 C65 2002 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.C28C65 2002; (1 items out of 1 available)
"Memoire di Antonio Canova / Scritte da Antonio D'Este, e pubblicate per cura di Alessandro D'Este con note e documenti",NB623.C2 E7 1864 ,NB623.C2 E7 1864 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.C2E7 1864; (1 items out of 1 available)
Antonio Canova and the politics of patronage in revolutionary and Napoleonic Europe / Christopher M.S. Johns,,NB623.C2 J64 1998 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.C2J64 1998; (1 items out of 1 available)
Christo [by] Lawrence Alloway,NB623.C38A6 1969 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.C38A6 1969; (1 items out of 1 available)
The autobiography of Benvenuto Cellini. Translated and with an introduction by George Bull,NB623.C3 B8 1956  and others,NB623.C3 B8 1956 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.C3B8 1956; (1 items out of 1 available)
Leben des Benvenuto Cellini / von ihm Selbst geschrieben ; übers. von Goethe ; hrsg. von Emil Schaeffer,NB623.C3 G6 1924 ,NB623.C3 G6 1924 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.C3G6 1924; (1 items out of 1 available)
Leben des Benvenuto Cellini : Übersetzungen I / Johann Wolfgang Goethe,NB623.C3 G64 1998 ,NB623.C3 G64 1998 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.C3G64 1998; (1 items out of 1 available)
"The autobiography of Benvenuto Cellini, translated by John Addington Symonds",NB623.C3 S45 1927 ,NB623.C3 S45 1927 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.C3S45 1927; (1 items out of 1 available)
"The autobiography of Benvenuto Cellini, translated by John Addington Symonds",NB623.C3S45 1927a ,NB623.C3 S45 1927a ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.C3S45 1927a; (2 items out of 2 available)
"The autobiography of Benvenuto Cellini, translated by John Addington Symonds",NB623.C3 S453  and others,NB623.C3 S453 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.C3S453; (1 items out of 1 available)
"Donatello, la Vierge et l'Enfant : deux reliefs en terre cuite / Marc Bormand ; [préface, Henri Loyrette]",,NB623.D7 A4 2008 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.D7A4 2008; (1 items out of 1 available)
Donatello : an introduction / Charles Avery ; principal photographs by David Finn,,NB623.D7 A9 1994 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.D7A9 1994; (1 items out of 1 available)
Donatello / by Maud Cruttwell,,NB623.D7 C7 1971 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.D7C7 1971; (1 items out of 1 available)
Ghiberti and Donatello with other early Italian sculptors / by Leader Scott,NB623.G45 B3 1890a ,NB623.G45 B3 1890a ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.G45B3 1890a; (1 items out of 1 available)
Giambologna : narrator of the Catholic Reformation / Mary Weitzel Gibbons,,NB623.G465 G53 1995 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.G465G53 1995; (1 items out of 1 available)
"Tullio Lombardo and ideal portrait sculpture in Renaissance Venice, 1490-1530 / Alison Luchs",,NB623.L74 L83 1995 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.L74L83 1995; (1 items out of 1 available)
La pala marmorea di San Francesco in Bologna,NB623.M34 R6  and others,NB623.M34 R6 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.M34R6; (1 items out of 1 available)
"Die romanischen Skulpturen der Abtei Sagra di San Michele : Studien zu Meister Nicolaus und zur ""Scoula di Piacenza"" / Christine Verzár.",NB623.N48 V47 1968 ,NB623.N48 V4 1968  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.N48 V47 1968; (1 items out of 1 available)
"Andrea, Nino e Tommaso scultori pisani / a cura di Mariagiulia Burresi ; con un profilo storico sull'arte pisana del Trecento di Antonino Caleca ; fotografie di Aurelio Amendola.",,NB623.P39 A83 1983 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.P39 A83 1983; (1 items out of 1 available)
"Giovanni Pisano, sculptor [by] Michael Ayrton. Introd. by Henry Moore. Photos. specially taken by Ilario Bessi in collaboration with Henry Moore",NB623.P4A9 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.P4A9; (1 items out of 1 available)
"Giovanni Pisano, mit 152 Bildern",,NB623.P4 K4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.P4K4; (1 items out of 1 available)
Andrea e Nino Pisani,NB623.P58 T6 1950  and others,NB623.P58 T6 1950 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.P58T6 1950; (1 items out of 1 available)
"Nicola Pisano and the revival of sculpture in Italy, by G.H. and E.R. Crichton",,NB623.P5 C7 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.P5C7; (1 items out of 1 available)
Jacopo della Quercia / James Beck,NB623.O4B39 1991 ,NB623.O4 B39 1991 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.Q4B39 1991; (2 items out of 2 available)
"Jacopo della Quercia, par Louis Gielly",734.45 Q4zg ,NB623.Q4 G5 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB623.Q4G5; (1 items out of 1 available)
